,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density
42,Dendrortyx macroura,13.5,430.99,663,mtsòo,mtsòo,"Grouse, Quail, and Allies",0.0,1.0,1.0,4.0,-5.66621025425934
43,Tyrannus vociferans,8.5,45.6,5119,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,4.0,3.0,12.0,-4.252342527437093
44,Cairina moschata,30.0,2415.78,81,bǎd,bǎd,Waterfowl,0.0,7.0,2.0,10.0,-5.82288506457521
45,Cinclus mexicanus,7.5,56.68,16,mguîn̲-nìs,mguîn̲-nìs,Dippers,0.0,1.0,1.0,1.0,-5.037011779072613
46,Lampornis clemenciae,5.25,7.55,886,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,-5.100465833920707
47,Piranga rubra,7.75,29.13,2062,mguěy,mguěy,"Cardinals, Grosbeaks, and Allies",0.0,4.0,2.0,2.0,-4.190642895794205
48,Columbina passerina,6.5,35.36,2100,côc,côc,Pigeons and Doves,0.0,2.0,2.0,7.0,-5.182332725512403
49,Vermivora ruficapilla,4.699999999999998,8.09,0,mguîn̲-tsíríic,mguîn̲-tsíríic,Wood-Warblers,0.0,1.0,1.0,15.0,
50,Bubulcus ibis,20.0,365.95,4374,gàrs,gàrs,"Herons, Ibis, and Allies",0.0,1.0,1.0,1.0,-5.675789217301666
51,Myiarchus nuttingi,7.25,23.0,1903,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0.0,2.0,2.0,12.0,-4.181816513260388
52,Dendroica nigrescens,5.1,8.7,0,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,
53,Micrathene whitneyi,5.5,41.0,28,mquí,mquí,Owls,0.0,3.0,3.0,6.0,-4.901070195450386
54,Eremophila alpestris,7.5,33.33,80,mguîn̲-ló-liù,mguîn̲-ló-liù,Larks,0.0,1.0,1.0,1.0,-4.345885989406748
55,Bubo virginianus,21.5,1575.7,145,dǎm̲,dǎm̲,Owls,1.0,3.0,1.0,6.0,-5.537775302623804
56,Dendroica occidentalis,4.75,10.4,0,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,
57,Vireo cassinii,5.0,14.7,916,mtsùu,mtsùu,Vireos,0.0,8.0,8.0,4.0,-3.577891581091169
58,Tachycineta thalassina,5.125,14.14,2454,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0.0,7.0,4.0,4.0,-5.0590134676994785
59,Cathartes aura,29.0,1518.24,13517,pěch,pěch,"Vultures, Hawks, and Allies",1.0,2.0,1.0,8.0,-5.5774646887996955
60,Myioborus miniatus,6.0,9.0,3440,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0.0,2.0,2.0,15.0,-3.947302288947612
61,Baeolophus wollweberi,4.625,10.4,510,mguîn̲-pàyâs,mguîn̲-pàyâs,"Tits, Chickadees, and Titmice",0.0,2.0,2.0,2.0,-4.11749550303826
62,Pheucticus melanocephalus,7.75,47.13,2627,mguěy,mguěy-guièe-dán,"Cardinals, Grosbeaks, and Allies",0.0,4.0,1.0,2.0,-4.36905815937161
63,Selasphorus rufus,3.75,3.5,360,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,-5.314224543764665
64,Myioborus pictus,5.5,9.79,1144,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0.0,2.0,2.0,15.0,-3.9757075055092566
65,Lamprolaima rhami,4.75,7.8,418,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,-5.601677100480966
66,Meleagris gallopavo,38.5,5791.37,0,mèr,mèr,"Grouse, Quail, and Allies",0.0,1.0,1.0,4.0,
67,Cypseloides niger,7.25,39.67,236,xlútsǐ,xlútsǐ-ngǎs,Swifts,0.0,7.0,3.0,3.0,-5.674903773078893
68,Eugenes fulgens,4.525,8.0,1642,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,-5.184126442104706
69,Junco phaeonotus,6.25,20.4,2155,mguîn̲-x-còl-nquǐts,mguîn̲-x-còl-nquǐts,New World Sparrows,0.0,1.0,1.0,10.0,-4.03527071688794
70,Buteo albonotatus,19.5,745.92,993,msì,msì,"Vultures, Hawks, and Allies",0.0,7.0,3.0,8.0,-4.976317426681932
