,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density
222,Chondrohierax uncinatus,,286.07,219,,,,,,,,-5.660793495448279
223,Glaucidium brasilianum,,75.1,1900,,,,,,,,-5.141206447871914
224,Aphelocoma woodhouseii,,0.0,1840,,,,,,,,
225,Campylorhynchus rufinucha,,31.0,2601,,,,,,,,-4.3056990176586725
226,Passerina cyanea,,14.69,1547,,,,,,,,-3.990134406803068
227,Vireolanius melitophrys,,34.7,813,,,,,,,,-3.8358412295625772
228,Melanerpes chrysogenys,,67.72,2070,,,,,,,,-4.298719693172083
229,Passerina leclancherii,,14.0,2207,,,,,,,,-4.192134454798646
230,Tringa melanoleuca,,161.74,634,,,,,,,,-5.79546084270652
231,Icterus spurius,,19.44,2405,,,,,,,,-4.03935191924055
232,Passerina ciris,,15.54,932,,,,,,,,-4.008348860858208
233,Butorides virescens,,201.5,1672,,,,,,,,-5.821443652041172
234,Dendrocolaptes sanctithomae,,66.9,57,,,,,,,,-5.158097964081433
235,Myiarchus tyrannulus,,35.45,1371,,,,,,,,-4.289896742176283
236,Calocitta formosa,,210.0,3702,,,,,,,,-5.781989522512465
237,Columbina talpacoti,,46.04,1205,,,,,,,,-5.356627823167107
238,Campylorhynchus megalopterus,,33.1,1445,,,,,,,,-4.304846916026705
239,Passerina caerulea,,27.39,3474,,,,,,,,-4.135840435991646
240,Peucaea mystacalis,,0.0,2186,,,,,,,,
241,Tyrannus melancholicus,,37.4,6598,,,,,,,,-4.588855951907741
242,Phalacrocorax brasilianus,,1239.29,2731,,,,,,,,-5.692539902130254
243,Buteogallus anthracinus,,975.09,649,,,,,,,,-4.932723503904959
244,Egretta rufescens,,614.0,984,,,,,,,,-5.692041727766746
245,Setophaga nigrescens,,0.0,1454,,,,,,,,
246,Certhia americana,,8.1,1123,,,,,,,,-5.0977335104308885
247,Thalasseus sandvicensis,,0.0,322,,,,,,,,
248,Empidonax sp.,,0.0,1142,,,,,,,,
249,Loxia curvirostra,,38.29,587,,,,,,,,-4.885016242048859
250,Podilymbus podiceps,,411.93,539,,,,,,,,-5.8344709169038325
251,Basileuterus belli,,10.7,1612,,,,,,,,-3.765218573650434
252,Myiozetetes similis,,28.0,6005,,,,,,,,-4.062944461344359
253,Calidris canutus,,141.87,100,,,,,,,,-5.6195051342693025
254,Calidris mauri,,27.82,372,,,,,,,,-5.2529976127817495
255,Spatula clypeata,,0.0,725,,,,,,,,
256,Arremonops rufivirgatus,,22.43,872,,,,,,,,-4.054127723915257
257,Spinus psaltria,,0.0,7126,,,,,,,,
258,Toxostoma ocellatum,,84.29,843,,,,,,,,-5.240652126400102
259,Aimophila notosticta,,27.1,965,,,,,,,,-3.970337977974981
260,Chloroceryle aenea,,13.75,16,,,,,,,,-5.878382967871552
261,Dryobates scalaris,,0.0,2324,,,,,,,,
262,Catharus sp.,,0.0,62,,,,,,,,
263,Polioptila albiloris,,6.26,2164,,,,,,,,-4.722450033262361
264,Melanerpes aurifrons,,80.77,2712,,,,,,,,-4.91101916954754
265,Tringa semipalmata,,0.0,671,,,,,,,,
266,Icteria virens,,24.89,602,,,,,,,,-3.997702422931078
267,Tyrannus forficatus,,39.3,1258,,,,,,,,-5.399482348189333
268,Icterus pustulatus,,36.78,3009,,,,,,,,-3.8090173798573947
269,Streptoprocne zonaris,,86.79,1011,,,,,,,,-5.6745780099260505
270,Pelecanus occidentalis,,3427.84,1740,,,,,,,,-5.891841481790175
271,Progne chalybea,,42.9,1799,,,,,,,,-5.226229913206043
272,Fregata magnificens,,1490.52,2443,,,,,,,,-5.907455825523867
273,Heliomaster constantii,,7.3,597,,,,,,,,-5.387331202109482
274,Eupsittula canicularis,,0.0,2475,,,,,,,,
275,Piranga flava,,37.7,1578,,,,,,,,-4.099307969898401
276,Contopus sordidulus,,13.1,1422,,,,,,,,-4.439353814279713
277,Volatinia jacarina,,9.94,971,,,,,,,,-4.512765837810102
278,Anabacerthia variegaticeps,,27.8,194,,,,,,,,-4.210999503561421
279,Cyanolyca mirabilis,,52.4,97,,,,,,,,-4.1847753884661465
280,Lanius ludovicianus,,51.59,960,,,,,,,,-4.212992552021804
281,Sturnella magna,,91.76,680,,,,,,,,-5.140510920322036
282,Egretta tricolor,,372.3,1366,,,,,,,,-5.508428402990586
283,Nyctanassa violacea,,681.67,489,,,,,,,,-5.643237385565146
284,Ardea herodias,,2523.41,1774,,,,,,,,-5.904258156238372
285,Icterus parisorum,,36.48,506,,,,,,,,-3.8470953338156124
286,Passeriformes sp.,,0.0,106,,,,,,,,
287,Megascops cooperi,,149.94,196,,,,,,,,-5.236766441025317
288,Turdus grayi,,79.5,4195,,,,,,,,-4.2806142106877925
289,Piaya cayana,,101.98,1476,,,,,,,,-5.6387671661588135
290,Passerellidae sp. (sparrow sp.),,0.0,84,,,,,,,,
291,Euphonia elegantissima,,15.0,1522,,,,,,,,-4.932331205068678
292,Synallaxis erythrothorax,,17.1,269,,,,,,,,-4.3638080491823485
293,Pachysylvia decurtata,,0.0,348,,,,,,,,
294,Setophaga ruticilla,,8.24,1137,,,,,,,,-3.982628978729597
295,Phaethornis striigularis,,3.0,359,,,,,,,,-5.346896196150794
296,Eupherusa eximia,,4.3,119,,,,,,,,-5.097299444334875
297,Contopus cooperi,,32.1,238,,,,,,,,-4.47426595721433
298,Geothlypis tolmiei,,0.0,2101,,,,,,,,
299,Myiobius sulphureipygius,,11.64,49,,,,,,,,-3.559312204986091
300,Cyanocompsa parellina,,15.64,980,,,,,,,,-4.311375228127224
301,Icterus abeillei,,33.0,106,,,,,,,,-3.8470150612356626
302,Momotus mexicanus,,75.7,1674,,,,,,,,-5.32212634340857
303,Cynanthus latirostris,,3.1,1899,,,,,,,,-5.092599224341429
304,Myiarchus cinerascens,,28.2,1675,,,,,,,,-4.12730737473495
305,Pluvialis squatarola,,250.0,398,,,,,,,,-5.625208978068686
306,Empidonax fulvifrons,,7.9,63,,,,,,,,-4.2693272687600405
307,Cardinalis cardinalis,,42.64,1102,,,,,,,,-4.441384759962348
308,Chloroceryle americana,,33.73,1063,,,,,,,,-5.88076118577835
309,Camptostoma imberbe,,7.4,2010,,,,,,,,-4.913620127376609
310,Myiopagis viridicata,,11.51,1419,,,,,,,,-3.661036388828873
311,Antrostomus arizonae,,0.0,371,,,,,,,,
312,Anhinga anhinga,,1235.0,380,,,,,,,,-5.875130809953803
313,Jacana spinosa,,94.0,923,,,,,,,,-5.685335583034276
314,Himantopus mexicanus,,176.82,1431,,,,,,,,-5.848741878876648
315,Egretta thula,,371.0,3158,,,,,,,,-5.4639321478824
316,Apodidae sp.,,0.0,122,,,,,,,,
317,Icterus graduacauda,,42.2,1108,,,,,,,,-3.8725911835244307
318,Tigrisoma mexicanum,,1154.38,171,,,,,,,,-5.83442523866252
319,Vireo hypochryseus,,12.2,2448,,,,,,,,-3.52797309083562
320,Hylocichla mustelina,,50.09,228,,,,,,,,-4.316941395204871
321,Setophaga citrina,,0.0,481,,,,,,,,
322,Empidonax flaviventris,,11.8,397,,,,,,,,-3.8242470092303398
323,Vermivora cyanoptera,,0.0,122,,,,,,,,
324,Vireo griseus,,11.4,386,,,,,,,,-3.5115095337086055
325,Dives dives,,91.32,1831,,,,,,,,-4.821551713134729
326,Ardea alba,,0.0,3801,,,,,,,,
327,Momotus lessonii,,0.0,460,,,,,,,,
328,Falco rufigularis,,163.64,214,,,,,,,,-5.308254195130657
329,Pseudastur albicollis,,0.0,169,,,,,,,,
330,Formicarius analis,,62.19,146,,,,,,,,-4.778850858023396
331,Tachycineta albilinea,,16.7,890,,,,,,,,-4.874259171395622
332,Ramphocelus sanguinolentus,,41.0,450,,,,,,,,-3.9865414967817587
333,Panyptila cayennensis,,21.1,33,,,,,,,,-5.526932114208466
334,Pachyramphus major,,24.8,179,,,,,,,,-4.08388635395296
335,Sterna hirundo,,129.15,129,,,,,,,,-5.595766747711011
336,Amazilia rutila,,5.24,1506,,,,,,,,-4.531431844192329
337,Icterus sp.,,0.0,299,,,,,,,,
338,Icterus bullockii,,37.9,2841,,,,,,,,-3.778936756714733
339,Xenotriccus mexicanus,,13.8,845,,,,,,,,-3.8661211150699177
340,Streptoprocne rutila,,20.2,337,,,,,,,,-5.59046464524512
341,Pandion haliaetus,,1483.2,1290,,,,,,,,-5.546931647809297
342,Psarocolius montezuma,,309.87,818,,,,,,,,-5.817860943096466
343,Leucophaeus pipixcan,,0.0,336,,,,,,,,
344,Setophaga pitiayumi,,0.0,276,,,,,,,,
345,Empidonax wrightii,,12.3,265,,,,,,,,-3.6356408444195427
346,Pionus senilis,,212.0,280,,,,,,,,-5.705255604705966
347,Hylocharis eliciae,,3.6,10,,,,,,,,-5.2330204459989424
348,Pheucticus ludovicianus,,42.0,1132,,,,,,,,-4.285219945343578
349,Gallinula galeata,,0.0,503,,,,,,,,
350,Nyctidromus albicollis,,57.84,435,,,,,,,,-5.619190398781106
351,Charadrius vociferus,,96.44,996,,,,,,,,-5.3697654375529265
352,Dendrocincla anabatina,,34.21,68,,,,,,,,-3.9691787495596937
353,Sporophila morelleti/torqueola,,0.0,95,,,,,,,,
354,Sporophila morelleti,,0.0,894,,,,,,,,
355,Vireo flavoviridis,,17.59,596,,,,,,,,-3.9136410155973063
356,Xiphorhynchus flavigaster,,46.19,1285,,,,,,,,-5.248714244993912
357,Selasphorus platycercus,,3.54,222,,,,,,,,-4.95038780055069
358,Tinamus major,,1026.21,48,,,,,,,,-5.9004168643645
359,Setophaga graciae,,0.0,226,,,,,,,,
360,Sialia sialis,,27.5,203,,,,,,,,-4.111160488766474
361,Colinus virginianus,,171.89,313,,,,,,,,-5.565644438373094
362,Cyanoloxia cyanoides,,0.0,158,,,,,,,,
363,Tringa incana,,0.0,20,,,,,,,,
364,Turdus infuscatus,,72.4,409,,,,,,,,-4.2968070194194246
365,Thraupis episcopus,,35.0,855,,,,,,,,-3.9587041494306527
366,Euphonia gouldi,,14.0,121,,,,,,,,-4.804149676861562
367,Psilorhinus morio,,0.0,1284,,,,,,,,
368,Icterus pectoralis,,46.5,700,,,,,,,,-3.9400176650101066
369,Sporophila torqueola,,8.7,2994,,,,,,,,-4.736205929181211
370,Aulacorhynchus prasinus,,170.56,913,,,,,,,,-5.8802019751729375
371,Phaethon aethereus,,749.99,126,,,,,,,,-5.853086999360061
372,Limnodromus scolopaceus,,104.4,83,,,,,,,,-5.642535312288048
373,Xiphorhynchus erythropygius,,46.8,131,,,,,,,,-4.790128032898305
374,Psittacara holochlorus,,0.0,195,,,,,,,,
375,Peucaea ruficauda,,0.0,933,,,,,,,,
376,Elaenia flavogaster,,24.8,218,,,,,,,,-4.248096628477712
377,Peucaea sumichrasti,,0.0,659,,,,,,,,
378,Geothlypis poliocephala,,14.6,275,,,,,,,,-4.006178813027761
379,Chlorostilbon canivetii,,2.61,239,,,,,,,,-5.34595285325495
380,Trochilidae sp.,,0.0,955,,,,,,,,
381,Euphagus cyanocephalus,,62.48,22,,,,,,,,-4.109641266614875
382,Chordeiles sp.,,0.0,15,,,,,,,,
383,Caryothraustes poliogaster,,41.8,227,,,,,,,,-4.12054186268172
384,Saltator maximus,,47.62,321,,,,,,,,-4.297842174994369
385,Henicorhina leucosticta,,14.18,466,,,,,,,,-4.738862151982172
386,Trogon massena,,141.0,79,,,,,,,,-5.676050425406055
387,Catharus ustulatus,,30.3,522,,,,,,,,-4.197708991392424
388,Spizella atrogularis,,11.3,12,,,,,,,,-4.129718875601385
389,Vireo cassinii/plumbeus,,0.0,42,,,,,,,,
390,Amazilia violiceps,,5.1,241,,,,,,,,-4.750784248849219
391,Glaucidium palmarum,,45.7,520,,,,,,,,-4.753511523406144
392,Mycteria americana,,2554.47,834,,,,,,,,-5.912953034994217
393,Zentrygon albifacies,,0.0,289,,,,,,,,
394,Piranga bidentata,,36.07,428,,,,,,,,-3.8657497138929404
395,Sula nebouxii,,1520.09,129,,,,,,,,-5.419804529432282
396,Deltarhynchus flammulatus,,17.2,261,,,,,,,,-4.3795974210838935
397,Trogon collaris,,65.43,555,,,,,,,,-5.160795523940977
398,Riparia riparia,,12.68,122,,,,,,,,-5.329010374399516
399,Onychorhynchus coronatus,,14.0,36,,,,,,,,-5.012305930110296
400,Parkesia noveboracensis,,0.0,477,,,,,,,,
401,Cardellina rubra,,0.0,2492,,,,,,,,
402,Euphonia hirundinacea,,14.0,575,,,,,,,,-4.675257185315537
403,Sporophila funerea,,0.0,94,,,,,,,,
404,Tyrannus melancholicus/couchii,,0.0,160,,,,,,,,
405,Patagioenas flavirostris,,270.81,973,,,,,,,,-5.603217228157095
406,Piranga sp.,,0.0,31,,,,,,,,
407,Nycticorax nycticorax,,810.0,428,,,,,,,,-5.5853478707901365
408,Aimophila rufescens,,34.3,611,,,,,,,,-4.017290204290718
409,Microrhopias quixensis,,7.9,6,,,,,,,,-4.33789285255714
410,Ramphocelus passerinii,,32.0,35,,,,,,,,-3.9394499358127213
411,Geothlypis nelsoni,,11.0,148,,,,,,,,-4.239774549486974
412,Colaptes rubiginosus,,55.79,309,,,,,,,,-4.27019032537001
413,Catharus guttatus,,30.1,1144,,,,,,,,-4.541855430332917
414,Hydroprogne caspia,,0.0,461,,,,,,,,
415,Calidris alba,,51.71,269,,,,,,,,-5.205671778922971
416,Rhynchocyclus brevirostris,,24.3,129,,,,,,,,-4.525901422747998
417,Setophaga virens,,0.0,1239,,,,,,,,
418,Hirundinidae sp.,,0.0,316,,,,,,,,
419,Megaceryle torquata,,317.0,618,,,,,,,,-5.9046285776873235
420,Chiroxiphia linearis,,17.44,41,,,,,,,,-4.939835039568346
421,Tolmomyias sulphurescens,,14.3,361,,,,,,,,-3.7711989663553847
422,Ramphastos sulfuratus,,409.69,791,,,,,,,,-5.913366466363372
423,Rhytipterna holerythra,,36.8,14,,,,,,,,-3.912059919254051
424,Geranoaetus albicaudatus,,0.0,817,,,,,,,,
425,Lanio aurantius,,35.0,54,,,,,,,,-4.069168855063391
426,Tringa solitaria,,48.4,220,,,,,,,,-5.321745143379991
427,Peucaea botterii,,0.0,225,,,,,,,,
428,Granatellus venustus,,10.8,512,,,,,,,,-4.076443230851888
429,Dumetella carolinensis,,35.3,394,,,,,,,,-4.27938202546599
430,Chloroceryle amazona,,126.38,320,,,,,,,,-5.810348303713842
431,Thalasseus elegans,,0.0,370,,,,,,,,
432,Catharus mexicanus,,33.0,158,,,,,,,,-4.165802099347385
433,Oceanodroma microsoma,,0.0,101,,,,,,,,
434,Vireo cassinii/solitarius,,0.0,31,,,,,,,,
435,Ardenna creatopus,,0.0,128,,,,,,,,
436,Plegadis chihi,,616.89,329,,,,,,,,-5.375434253410815
437,Limosa fedoa,,357.02,288,,,,,,,,-5.7013723237020315
438,Pheugopedius felix,,0.0,1125,,,,,,,,
439,Vireo solitarius,,15.3,1118,,,,,,,,-3.7412098553448643
440,Attila spadiceus,,39.1,354,,,,,,,,-4.061348243632068
441,Amazona autumnalis,,416.0,557,,,,,,,,-5.538388243947955
442,Vireo flavifrons,,18.0,153,,,,,,,,-3.835341245796644
443,Passerina rositae,,20.0,535,,,,,,,,-4.490030741652987
444,Spizaetus tyrannus,,1007.11,119,,,,,,,,-5.354042633868284
445,Charadrius semipalmatus,,46.74,470,,,,,,,,-5.316786592652899
446,Ardenna pacifica,,0.0,264,,,,,,,,
447,Falco columbarius,,188.5,176,,,,,,,,-5.427889157938564
448,Circus hudsonius,,0.0,548,,,,,,,,
449,Tyrannus couchii,,39.0,261,,,,,,,,-4.409479967399216
450,Trogon melanocephalus,,85.1,215,,,,,,,,-5.256521405815963
451,Passerina amoena,,15.49,99,,,,,,,,-3.939813421901481
452,Cyanocorax yncas,,78.5,625,,,,,,,,-4.951083041582114
453,Sitta pygmaea,,10.6,3,,,,,,,,-4.167428721177357
454,Columbidae sp.,,0.0,42,,,,,,,,
455,Calothorax lucifer,,3.3,7,,,,,,,,-5.124195117855262
456,Amazilia tzacatl,,4.79,609,,,,,,,,-4.7015277870292485
457,Micrastur semitorquatus,,621.68,406,,,,,,,,-5.39966554421647
458,Cercomacroides tyrannina,,0.0,50,,,,,,,,
459,Setophaga magnolia,,0.0,821,,,,,,,,
460,Passerina versicolor,,12.89,399,,,,,,,,-3.9964059633420828
461,Lepidocolaptes affinis,,34.99,980,,,,,,,,-4.955854137613602
462,Dactylortyx thoracicus,,201.75,3,,,,,,,,-5.579513036779913
463,Psittaciformes sp. (parrot sp.),,0.0,62,,,,,,,,
464,Amblycercus holosericeus,,70.42,266,,,,,,,,-4.737018515190529
465,Todirostrum cinereum,,6.29,37,,,,,,,,-5.351981103937388
466,Myiarchus crinitus,,32.1,110,,,,,,,,-4.197203676766263
467,Pelecanus erythrorhynchos,,5608.48,846,,,,,,,,-5.889985146224111
468,Buteo plagiatus,,0.0,2082,,,,,,,,
469,Vireo atricapilla,,8.99,33,,,,,,,,-3.9241900672829333
470,Arremon aurantiirostris,,34.5,94,,,,,,,,-3.9582401872215414
471,Amazilia candida,,3.8,522,,,,,,,,-5.097446714474875
472,Habia fuscicauda,,36.84,462,,,,,,,,-3.867021057292001
473,Alcedinidae sp.,,0.0,11,,,,,,,,
474,Vireo bellii,,8.5,807,,,,,,,,-4.008359880042601
475,Aphelocoma unicolor,,124.0,540,,,,,,,,-5.124893390034252
476,Thraupis abbas,,45.0,1168,,,,,,,,-4.224331761858058
477,Calidris himantopus,,57.24,117,,,,,,,,-5.6556458263695575
478,Buteo swainsoni,,946.61,324,,,,,,,,-5.105485319463856
479,Parabuteo unicinctus,,850.28,49,,,,,,,,-5.038144486807747
480,Parkesia motacilla,,0.0,567,,,,,,,,
481,Campylopterus curvipennis,,6.0,146,,,,,,,,-4.878109423535242
482,Trogon caligatus,,46.5,497,,,,,,,,-5.1269276726740936
483,Myiodynastes luteiventris,,46.9,693,,,,,,,,-4.300843250304883
484,Gallinago delicata,,0.0,128,,,,,,,,
485,Petrochelidon pyrrhonota,,21.6,496,,,,,,,,-4.930543529310619
486,Podiceps nigricollis,,412.44,113,,,,,,,,-5.840305049289832
487,Puffinus subalaris,,0.0,181,,,,,,,,
488,Oncostoma cinereigulare,,6.4,220,,,,,,,,-4.838298375993209
489,Empidonax traillii,,13.39,275,,,,,,,,-3.7781777235847716
490,Crax rubra,,4133.0,20,,,,,,,,-5.881567610519528
491,Cardellina canadensis,,0.0,67,,,,,,,,
492,Mimus gilvus,,51.99,611,,,,,,,,-4.372609554006192
493,Trogon sp.,,0.0,43,,,,,,,,
494,Empidonax difficilis,,10.7,325,,,,,,,,-3.7469403917095767
495,Piranga erythrocephala,,21.8,557,,,,,,,,-4.184477118355984
496,Chordeiles minor,,79.3,37,,,,,,,,-5.7655566969322445
497,Eupherusa cyanophrys,,4.8,595,,,,,,,,-4.397328855839156
498,Elanus leucurus,,346.0,1144,,,,,,,,-5.381721669043879
499,Arenaria interpres,,135.98,296,,,,,,,,-5.408696005241392
500,Strigiformes sp.,,0.0,9,,,,,,,,
501,Campylorhynchus zonatus,,34.6,702,,,,,,,,-4.3068933161513465
502,Setophaga pensylvanica,,0.0,100,,,,,,,,
503,Peucaea humeralis,,0.0,8,,,,,,,,
504,Panyptila sanctihieronymi,,48.1,43,,,,,,,,-5.821872969973767
505,Sternula antillarum,,0.0,198,,,,,,,,
506,Pteroglossus torquatus,,219.07,294,,,,,,,,-5.899365095329964
507,Pyrilia haematotis,,149.0,129,,,,,,,,-5.710637860323261
508,Crypturellus cinnamomeus,,422.0,142,,,,,,,,-5.539657778703855
509,Thamnophilus doliatus,,27.03,332,,,,,,,,-3.987917417252516
510,Dendrocincla homochroa,,39.43,28,,,,,,,,-4.033069444794359
511,Coccyzus minor,,63.89,107,,,,,,,,-4.788143952965591
512,Coccothraustes vespertinus,,57.3,18,,,,,,,,-4.920614391555758
513,Progne sp.,,0.0,18,,,,,,,,
514,Molothrus oryzivorus,,181.85,27,,,,,,,,-5.358474308469079
515,Pheugopedius maculipectus,,0.0,924,,,,,,,,
516,Euphonia affinis,,10.0,1154,,,,,,,,-5.044326566382161
517,Laterallus ruber,,44.4,53,,,,,,,,-5.434499298219261
518,Sayornis phoebe,,19.7,62,,,,,,,,-4.155564092322443
519,Claravis pretiosa,,68.2,220,,,,,,,,-5.441623410635
520,Basileuterus lachrymosus,,0.0,342,,,,,,,,
521,Columbina minuta,,32.59,38,,,,,,,,-5.443357729034687
522,Molothrus ater,,40.26,485,,,,,,,,-4.0809783200102885
523,Porzana carolina,,74.8,180,,,,,,,,-5.471124845633763
524,Anthracothorax prevostii,,6.4,146,,,,,,,,-4.826782162794499
525,Sitta carolinensis,,21.0,275,,,,,,,,-4.349995789606145
526,Polioptila plumbea,,6.0,50,,,,,,,,-4.855923122491066
527,Spiza americana,,26.18,333,,,,,,,,-4.031650068867887
528,Setophaga americana,,0.0,453,,,,,,,,
529,Passerculus sandwichensis,,19.97,178,,,,,,,,-3.9638727413902286
530,Basileuterus culicivorus,,10.5,784,,,,,,,,-3.517385924758983
531,Psittaciformes sp. (parakeet sp.),,0.0,32,,,,,,,,
532,Sporophila minuta,,7.8,198,,,,,,,,-5.00795794459456
533,Sterninae sp.,,0.0,130,,,,,,,,
534,Chlorostilbon auriceps,,2.61,282,,,,,,,,-5.404024110883536
535,Oceanodroma melania,,61.5,135,,,,,,,,-5.353947222714394
536,Rynchops niger,,297.73,293,,,,,,,,-5.897234787298535
537,Tyto alba,,403.32,152,,,,,,,,-5.383637544589724
538,Pheucticus chrysopeplus,,77.6,88,,,,,,,,-5.24398256097092
539,Charadrius wilsonia,,55.1,88,,,,,,,,-5.130395358214588
540,Burhinus bistriatus,,787.0,315,,,,,,,,-5.798551455733443
541,Chlidonias niger,,65.3,311,,,,,,,,-5.591867349755366
542,Lepidocolaptes souleyetii,,25.7,192,,,,,,,,-5.330624014539365
543,Amazona oratrix,,476.94,96,,,,,,,,-5.523368046329737
544,Phainopepla nitens,,22.1,9,,,,,,,,-4.860579685027315
545,Vermivora chrysoptera,,8.74,8,,,,,,,,-4.041020593736834
546,Melozone kieneri,,38.7,85,,,,,,,,-3.8881442811696783
547,Lampornis viridipallens,,5.33,5,,,,,,,,-4.683595147267813
548,Buteogallus urubitinga,,1152.87,129,,,,,,,,-5.480701117344318
549,Picidae sp.,,0.0,77,,,,,,,,
550,Fregata sp.,,0.0,2,,,,,,,,
551,Aramus guarauna,,1080.0,263,,,,,,,,-5.743212697650431
552,Phaethornis mexicanus,,0.0,179,,,,,,,,
553,Heliomaster longirostris,,6.6,253,,,,,,,,-5.329548858112355
554,Cistothorus palustris,,10.8,33,,,,,,,,-4.56167788797863
555,Patagioenas speciosa,,258.47,22,,,,,,,,-5.44710897822358
556,Agelaius phoeniceus,,50.78,436,,,,,,,,-4.121542486169522
557,Icterus prosthemelas,,27.95,203,,,,,,,,-4.104762939986849
558,Vireo cassinii/solitarius/plumbeus,,0.0,54,,,,,,,,
559,Crypturellus soui,,216.16,93,,,,,,,,-5.804467322246326
560,Glaucidium griseiceps,,50.58,62,,,,,,,,-4.765421142466989
561,Hylorchilus sumichrasti,,28.4,197,,,,,,,,-5.5225437794203796
562,Pulsatrix perspicillata,,983.55,16,,,,,,,,-5.292700516491961
563,Galbula ruficauda,,26.5,17,,,,,,,,-5.880017856085576
564,Leiothlypis peregrina,,0.0,685,,,,,,,,
565,Buteo sp.,,0.0,49,,,,,,,,
566,Tunchiornis ochraceiceps,,0.0,26,,,,,,,,
567,Contopus cinereus,,11.6,82,,,,,,,,-4.602896523214312
568,Amazilia sp.,,0.0,32,,,,,,,,
569,Taraba major,,59.2,19,,,,,,,,-4.49281281194763
570,Regulus satrapa,,6.19,92,,,,,,,,-5.301518295198749
571,Cyclarhis gujanensis,,28.8,210,,,,,,,,-4.1520264381200125
572,Ridgwayia pinicola,,0.0,174,,,,,,,,
573,Tachycineta bicolor,,21.2,76,,,,,,,,-5.0673348308953035
574,Selasphorus sp.,,0.0,29,,,,,,,,
575,Ramphocaenus melanurus,,9.7,163,,,,,,,,-5.487089825638954
576,Penelope purpurascens,,2060.0,248,,,,,,,,-5.854497810711711
577,Ortalis sp.,,0.0,9,,,,,,,,
578,Glyphorynchus spirurus,,14.6,37,,,,,,,,-3.7537353921481285
579,Dryobates fumigatus,,0.0,117,,,,,,,,
580,Troglodytidae sp.,,0.0,35,,,,,,,,
581,Sittasomus griseicapillus,,13.12,363,,,,,,,,-4.3613067516683985
582,Amazona sp.,,0.0,77,,,,,,,,
583,Leiothlypis crissalis,,0.0,13,,,,,,,,
584,Nyctibius jamaicensis,,266.04,121,,,,,,,,-5.835769420919701
585,Porphyrio martinica,,235.06,120,,,,,,,,-5.71428424063632
586,Platalea ajaja,,1490.0,776,,,,,,,,-5.8911643645070795
587,Empidonax difficilis/occidentalis,,0.0,158,,,,,,,,
588,Botaurus pinnatus,,812.16,11,,,,,,,,-5.534849336212543
589,Aramides albiventris,,0.0,42,,,,,,,,
590,Melanerpes pucherani,,62.4,66,,,,,,,,-4.545419290235197
591,Empidonax alnorum,,12.7,17,,,,,,,,-3.701754572660153
592,Charadrius collaris,,28.3,279,,,,,,,,-4.928232413026969
593,Setophaga tigrina,,0.0,6,,,,,,,,
594,Habia rubica,,32.46,432,,,,,,,,-3.836234672319468
595,Helmitheros vermivorum,,14.16,75,,,,,,,,-3.805464513668224
596,Empidonax albigularis,,9.58,118,,,,,,,,-4.0845713687633545
597,Geranospiza caerulescens,,302.5,183,,,,,,,,-5.414185114033786
598,Amazilia cyanocephala,,5.1,438,,,,,,,,-4.403538266189304
599,Rostrhamus sociabilis,,366.94,156,,,,,,,,-5.40666967333509
600,Colaptes auricularis,,65.4,202,,,,,,,,-4.27648777744569
601,Xenops minutus,,10.6,80,,,,,,,,-4.04660669628795
602,Phalaropus fulicarius,,55.59,71,,,,,,,,-5.516880124888026
603,Charadrius nivosus,,0.0,185,,,,,,,,
604,Gelochelidon nilotica,,0.0,246,,,,,,,,
605,Patagioenas nigrirostris,,176.0,158,,,,,,,,-5.3972055120564235
606,Larus argentatus,,1090.99,26,,,,,,,,-5.654125771668269
607,Uropsila leucogastra,,9.03,119,,,,,,,,-4.897954022434654
608,Odontophorus guttatus,,303.83,108,,,,,,,,-5.753487376804774
609,Campylopterus hemileucurus,,9.72,152,,,,,,,,-5.4909098838645285
610,Xema sabini,,198.0,77,,,,,,,,-5.634044503188227
611,Setophaga dominica,,0.0,173,,,,,,,,
612,Automolus ochrolaemus,,40.2,111,,,,,,,,-3.9020862870143787
613,Contopus sordidulus/virens,,0.0,84,,,,,,,,
614,Tityra inquisitor,,43.1,117,,,,,,,,-4.672587236017291
615,Stercorarius parasiticus,,444.31,35,,,,,,,,-5.690581805792952
616,Ciccaba nigrolineata,,0.0,15,,,,,,,,
617,Piranga leucoptera,,16.0,273,,,,,,,,-4.639676031131124
618,Megascops guatemalae,,118.0,75,,,,,,,,-5.242625975805353
619,Tapera naevia,,48.42,13,,,,,,,,-4.629615873447673
620,Oriturus superciliosus,,41.4,3,,,,,,,,-3.972777618708659
621,Buteo platypterus,,453.65,604,,,,,,,,-5.034621479556585
622,Bolborhynchus lineola,,56.2,61,,,,,,,,-5.6228875236504186
623,Cotinga amabilis,,71.49,8,,,,,,,,-4.934566299031484
624,Psarocolius wagleri,,155.5,113,,,,,,,,-5.6718953651202915
625,Asio clamator,,0.0,18,,,,,,,,
626,Vireo pallens,,11.0,74,,,,,,,,-3.737554781059248
627,Turdus sp.,,0.0,76,,,,,,,,
628,Micrastur ruficollis,,177.64,129,,,,,,,,-5.569086632789311
629,Coccyzus americanus,,64.0,57,,,,,,,,-4.797390097861531
630,Ictinia mississippiensis,,276.03,59,,,,,,,,-5.177550998515077
631,Tinamidae sp.,,0.0,1,,,,,,,,
