LANGUAGE NAME,SCIENTIFIC NAME,BASIC LEVEL
mæ̀cw-guiùu, Melanotis caerulescens, mæ̀cw-guiùu
mguîn̲-bæ̀d, Bombycilla cedrorum, mguîn̲-bæ̀d
péedrùuch, Ptiliogonys cinereus, péedrùuch
wǐt, Empidonax oberholseri, wǐt
wǐt, Dendroica coronata, wǐt
wǐt, Pooecetes gramineus, wǐt
wǐt, Empidonax occidentalis, wǐt
wǐt, Empidonax affinis, wǐt
wǐt, Vermivora celata, wǐt
wǐt, Dendroica nigrescens, wǐt
wǐt, Dendroica occidentalis, wǐt
wǐt, Mniotilta varia, wǐt
wǐt, Oporornis tolmiei, wǐt
wǐt, Cardellina rubrifrons, wǐt
wǐt-dán, Mitrephanes phaeocercus, wǐt
mguîn̲-mâ-zhiàn, Myioborus pictus, mguîn̲-mâ-zhiàn
mguîn̲-mâ-zhiàn, Myioborus miniatus, mguîn̲-mâ-zhiàn
mguîn̲-tsíríic, Vermivora ruficapilla, mguîn̲-tsíríic
yěets, Cardellina pusilla, yěets
yěets-dán, Spinus notatus, yěets
yěets-pînt, Setophaga townsendi, yěets
x-quǐit-ngùbìdz, Ergaticus ruber, x-quǐit-ngùbìdz
mguîn̲-dǎm̲, Basileuterus rufifrons, mguîn̲-dǎm̲
mguěy, Haemorhous mexicanus, mguěy
mguěy-ndòo, Haemorhous mexicanus, mguěy
mguěy, Piranga rubra, mguěy
měy-guièe, Piranga rubra, mguěy
mguěy-guièe-pchôg, Icterus wagleri, mguěy
mguěy-guièe-dán, Pheucticus melanocephalus, mguěy
mguîn̲-wchǔup, Arremon brunneinucha, mguîn̲-wchǔup
chùubây, Pipilo ocai, chùubây
mguîn̲-wǐx, Pipilo maculatus, mguîn̲-wǐx
chûurr, Melozone albicollis, chûurr
mtsùu, Aimophila ruficeps, mtsùu
mguîn̲-pánt, Aimophila ruficeps, mtsùu
mguîn̲-zhàn̲-guìzh, Aimophila ruficeps, mtsùu
mtsùu, Aimophila mystacalis, mtsùu
mtsùu, Spizella passerina, mtsùu
mtsùu, Melospiza lincolnii, mtsùu
mguîn̲-x-còl-nquǐts, Junco phaeonotus, mguîn̲-x-còl-nquǐts
mguîn̲-bǒo, Quiscalus mexicanus, mguîn̲-bǒo
mguîn̲-ngǎs, Quiscalus mexicanus, mguîn̲-bǒo
sànât-bûrr, Molothrus aeneus, sànât-bûrr
mdzíl-dò, Carduelis psaltria, mdzíl-dò
mguîn̲-mòlîn, Passer domesticus, mguîn̲-mòlîn
