LANGUAGE NAME,SCIENTIFIC NAME,BASIC LEVEL
t’aawák, Branta canadensis, t’aawák
t’aawák, Branta hutchinsii, t’aawák
kín, Branta bernicla, kín
gúkl’, Cygnus buccinator, gúkl’
gúkl’, Cygnus columbianus, gúkl’
Kindachooneit, Anas platyrhynchos, Kindachooneit
