species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements
Cyanolyca mirabilis,NA,52.4,97,NA,NA,NA,NA,NA,NA,NA
Lanius ludovicianus,NA,51.59,960,NA,NA,NA,NA,NA,NA,NA
Sturnella magna,NA,91.76,680,NA,NA,NA,NA,NA,NA,NA
Egretta tricolor,NA,372.3,1366,NA,NA,NA,NA,NA,NA,NA
Nyctanassa violacea,NA,681.67,489,NA,NA,NA,NA,NA,NA,NA
Ardea herodias,NA,2523.41,1774,NA,NA,NA,NA,NA,NA,NA
Icterus parisorum,NA,36.48,506,NA,NA,NA,NA,NA,NA,NA
Passeriformes sp.,NA,0.0,106,NA,NA,NA,NA,NA,NA,NA
Megascops cooperi,NA,149.94,196,NA,NA,NA,NA,NA,NA,NA
Turdus grayi,NA,79.5,4195,NA,NA,NA,NA,NA,NA,NA
Piaya cayana,NA,101.98,1476,NA,NA,NA,NA,NA,NA,NA
Passerellidae sp. (sparrow sp.),NA,0.0,84,NA,NA,NA,NA,NA,NA,NA
Euphonia elegantissima,NA,15.0,1522,NA,NA,NA,NA,NA,NA,NA
Synallaxis erythrothorax,NA,17.1,269,NA,NA,NA,NA,NA,NA,NA
Pachysylvia decurtata,NA,0.0,348,NA,NA,NA,NA,NA,NA,NA
Setophaga ruticilla,NA,8.24,1137,NA,NA,NA,NA,NA,NA,NA
Phaethornis striigularis,NA,3.0,359,NA,NA,NA,NA,NA,NA,NA
Eupherusa eximia,NA,4.3,119,NA,NA,NA,NA,NA,NA,NA
Contopus cooperi,NA,32.1,238,NA,NA,NA,NA,NA,NA,NA
Geothlypis tolmiei,NA,0.0,2101,NA,NA,NA,NA,NA,NA,NA
Myiobius sulphureipygius,NA,11.64,49,NA,NA,NA,NA,NA,NA,NA
Cyanocompsa parellina,NA,15.64,980,NA,NA,NA,NA,NA,NA,NA
Icterus abeillei,NA,33.0,106,NA,NA,NA,NA,NA,NA,NA
Momotus mexicanus,NA,75.7,1674,NA,NA,NA,NA,NA,NA,NA
Cynanthus latirostris,NA,3.1,1899,NA,NA,NA,NA,NA,NA,NA
Myiarchus cinerascens,NA,28.2,1675,NA,NA,NA,NA,NA,NA,NA
Pluvialis squatarola,NA,250.0,398,NA,NA,NA,NA,NA,NA,NA
Empidonax fulvifrons,NA,7.9,63,NA,NA,NA,NA,NA,NA,NA
Cardinalis cardinalis,NA,42.64,1102,NA,NA,NA,NA,NA,NA,NA
Chloroceryle americana,NA,33.73,1063,NA,NA,NA,NA,NA,NA,NA
Camptostoma imberbe,NA,7.4,2010,NA,NA,NA,NA,NA,NA,NA
Myiopagis viridicata,NA,11.51,1419,NA,NA,NA,NA,NA,NA,NA
Antrostomus arizonae,NA,0.0,371,NA,NA,NA,NA,NA,NA,NA
Anhinga anhinga,NA,1235.0,380,NA,NA,NA,NA,NA,NA,NA
Jacana spinosa,NA,94.0,923,NA,NA,NA,NA,NA,NA,NA
Himantopus mexicanus,NA,176.82,1431,NA,NA,NA,NA,NA,NA,NA
Egretta thula,NA,371.0,3158,NA,NA,NA,NA,NA,NA,NA
Apodidae sp.,NA,0.0,122,NA,NA,NA,NA,NA,NA,NA
Icterus graduacauda,NA,42.2,1108,NA,NA,NA,NA,NA,NA,NA
Tigrisoma mexicanum,NA,1154.38,171,NA,NA,NA,NA,NA,NA,NA
Vireo hypochryseus,NA,12.2,2448,NA,NA,NA,NA,NA,NA,NA
Hylocichla mustelina,NA,50.09,228,NA,NA,NA,NA,NA,NA,NA
Setophaga citrina,NA,0.0,481,NA,NA,NA,NA,NA,NA,NA
Empidonax flaviventris,NA,11.8,397,NA,NA,NA,NA,NA,NA,NA
Vermivora cyanoptera,NA,0.0,122,NA,NA,NA,NA,NA,NA,NA
Vireo griseus,NA,11.4,386,NA,NA,NA,NA,NA,NA,NA
Dives dives,NA,91.32,1831,NA,NA,NA,NA,NA,NA,NA
Ardea alba,NA,0.0,3801,NA,NA,NA,NA,NA,NA,NA
Momotus lessonii,NA,0.0,460,NA,NA,NA,NA,NA,NA,NA
Falco rufigularis,NA,163.64,214,NA,NA,NA,NA,NA,NA,NA
Pseudastur albicollis,NA,0.0,169,NA,NA,NA,NA,NA,NA,NA
Formicarius analis,NA,62.19,146,NA,NA,NA,NA,NA,NA,NA
Tachycineta albilinea,NA,16.7,890,NA,NA,NA,NA,NA,NA,NA
Ramphocelus sanguinolentus,NA,41.0,450,NA,NA,NA,NA,NA,NA,NA
Panyptila cayennensis,NA,21.1,33,NA,NA,NA,NA,NA,NA,NA
Pachyramphus major,NA,24.8,179,NA,NA,NA,NA,NA,NA,NA
Sterna hirundo,NA,129.15,129,NA,NA,NA,NA,NA,NA,NA
Amazilia rutila,NA,5.24,1506,NA,NA,NA,NA,NA,NA,NA
Icterus sp.,NA,0.0,299,NA,NA,NA,NA,NA,NA,NA
Icterus bullockii,NA,37.9,2841,NA,NA,NA,NA,NA,NA,NA
Xenotriccus mexicanus,NA,13.8,845,NA,NA,NA,NA,NA,NA,NA
Streptoprocne rutila,NA,20.2,337,NA,NA,NA,NA,NA,NA,NA
Pandion haliaetus,NA,1483.2,1290,NA,NA,NA,NA,NA,NA,NA
Psarocolius montezuma,NA,309.87,818,NA,NA,NA,NA,NA,NA,NA
Leucophaeus pipixcan,NA,0.0,336,NA,NA,NA,NA,NA,NA,NA
Setophaga pitiayumi,NA,0.0,276,NA,NA,NA,NA,NA,NA,NA
Empidonax wrightii,NA,12.3,265,NA,NA,NA,NA,NA,NA,NA
Pionus senilis,NA,212.0,280,NA,NA,NA,NA,NA,NA,NA
Hylocharis eliciae,NA,3.6,10,NA,NA,NA,NA,NA,NA,NA
Pheucticus ludovicianus,NA,42.0,1132,NA,NA,NA,NA,NA,NA,NA
Gallinula galeata,NA,0.0,503,NA,NA,NA,NA,NA,NA,NA
Nyctidromus albicollis,NA,57.84,435,NA,NA,NA,NA,NA,NA,NA
Charadrius vociferus,NA,96.44,996,NA,NA,NA,NA,NA,NA,NA
Dendrocincla anabatina,NA,34.21,68,NA,NA,NA,NA,NA,NA,NA
Sporophila morelleti/torqueola,NA,0.0,95,NA,NA,NA,NA,NA,NA,NA
Sporophila morelleti,NA,0.0,894,NA,NA,NA,NA,NA,NA,NA
Vireo flavoviridis,NA,17.59,596,NA,NA,NA,NA,NA,NA,NA
Xiphorhynchus flavigaster,NA,46.19,1285,NA,NA,NA,NA,NA,NA,NA
Selasphorus platycercus,NA,3.54,222,NA,NA,NA,NA,NA,NA,NA
Tinamus major,NA,1026.21,48,NA,NA,NA,NA,NA,NA,NA
Setophaga graciae,NA,0.0,226,NA,NA,NA,NA,NA,NA,NA
Sialia sialis,NA,27.5,203,NA,NA,NA,NA,NA,NA,NA
Colinus virginianus,NA,171.89,313,NA,NA,NA,NA,NA,NA,NA
Cyanoloxia cyanoides,NA,0.0,158,NA,NA,NA,NA,NA,NA,NA
Tringa incana,NA,0.0,20,NA,NA,NA,NA,NA,NA,NA
Turdus infuscatus,NA,72.4,409,NA,NA,NA,NA,NA,NA,NA
Thraupis episcopus,NA,35.0,855,NA,NA,NA,NA,NA,NA,NA
Euphonia gouldi,NA,14.0,121,NA,NA,NA,NA,NA,NA,NA
Psilorhinus morio,NA,0.0,1284,NA,NA,NA,NA,NA,NA,NA
Icterus pectoralis,NA,46.5,700,NA,NA,NA,NA,NA,NA,NA
Sporophila torqueola,NA,8.7,2994,NA,NA,NA,NA,NA,NA,NA
Aulacorhynchus prasinus,NA,170.56,913,NA,NA,NA,NA,NA,NA,NA
Phaethon aethereus,NA,749.99,126,NA,NA,NA,NA,NA,NA,NA
Limnodromus scolopaceus,NA,104.4,83,NA,NA,NA,NA,NA,NA,NA
Xiphorhynchus erythropygius,NA,46.8,131,NA,NA,NA,NA,NA,NA,NA
Psittacara holochlorus,NA,0.0,195,NA,NA,NA,NA,NA,NA,NA
Peucaea ruficauda,NA,0.0,933,NA,NA,NA,NA,NA,NA,NA
Elaenia flavogaster,NA,24.8,218,NA,NA,NA,NA,NA,NA,NA
Peucaea sumichrasti,NA,0.0,659,NA,NA,NA,NA,NA,NA,NA
Geothlypis poliocephala,NA,14.6,275,NA,NA,NA,NA,NA,NA,NA
Chlorostilbon canivetii,NA,2.61,239,NA,NA,NA,NA,NA,NA,NA
Trochilidae sp.,NA,0.0,955,NA,NA,NA,NA,NA,NA,NA
Euphagus cyanocephalus,NA,62.48,22,NA,NA,NA,NA,NA,NA,NA
Chordeiles sp.,NA,0.0,15,NA,NA,NA,NA,NA,NA,NA
Caryothraustes poliogaster,NA,41.8,227,NA,NA,NA,NA,NA,NA,NA
Saltator maximus,NA,47.62,321,NA,NA,NA,NA,NA,NA,NA
Henicorhina leucosticta,NA,14.18,466,NA,NA,NA,NA,NA,NA,NA
Trogon massena,NA,141.0,79,NA,NA,NA,NA,NA,NA,NA
Catharus ustulatus,NA,30.3,522,NA,NA,NA,NA,NA,NA,NA
Spizella atrogularis,NA,11.3,12,NA,NA,NA,NA,NA,NA,NA
Vireo cassinii/plumbeus,NA,0.0,42,NA,NA,NA,NA,NA,NA,NA
Amazilia violiceps,NA,5.1,241,NA,NA,NA,NA,NA,NA,NA
Glaucidium palmarum,NA,45.7,520,NA,NA,NA,NA,NA,NA,NA
Mycteria americana,NA,2554.47,834,NA,NA,NA,NA,NA,NA,NA
Zentrygon albifacies,NA,0.0,289,NA,NA,NA,NA,NA,NA,NA
Piranga bidentata,NA,36.07,428,NA,NA,NA,NA,NA,NA,NA
Sula nebouxii,NA,1520.09,129,NA,NA,NA,NA,NA,NA,NA
Deltarhynchus flammulatus,NA,17.2,261,NA,NA,NA,NA,NA,NA,NA
Trogon collaris,NA,65.43,555,NA,NA,NA,NA,NA,NA,NA
Riparia riparia,NA,12.68,122,NA,NA,NA,NA,NA,NA,NA
Onychorhynchus coronatus,NA,14.0,36,NA,NA,NA,NA,NA,NA,NA
Parkesia noveboracensis,NA,0.0,477,NA,NA,NA,NA,NA,NA,NA
Cardellina rubra,NA,0.0,2492,NA,NA,NA,NA,NA,NA,NA
Euphonia hirundinacea,NA,14.0,575,NA,NA,NA,NA,NA,NA,NA
Sporophila funerea,NA,0.0,94,NA,NA,NA,NA,NA,NA,NA
Tyrannus melancholicus/couchii,NA,0.0,160,NA,NA,NA,NA,NA,NA,NA
Patagioenas flavirostris,NA,270.81,973,NA,NA,NA,NA,NA,NA,NA
Piranga sp.,NA,0.0,31,NA,NA,NA,NA,NA,NA,NA
Nycticorax nycticorax,NA,810.0,428,NA,NA,NA,NA,NA,NA,NA
Aimophila rufescens,NA,34.3,611,NA,NA,NA,NA,NA,NA,NA
Microrhopias quixensis,NA,7.9,6,NA,NA,NA,NA,NA,NA,NA
Ramphocelus passerinii,NA,32.0,35,NA,NA,NA,NA,NA,NA,NA
Geothlypis nelsoni,NA,11.0,148,NA,NA,NA,NA,NA,NA,NA
Colaptes rubiginosus,NA,55.79,309,NA,NA,NA,NA,NA,NA,NA
Catharus guttatus,NA,30.1,1144,NA,NA,NA,NA,NA,NA,NA
Hydroprogne caspia,NA,0.0,461,NA,NA,NA,NA,NA,NA,NA
Calidris alba,NA,51.71,269,NA,NA,NA,NA,NA,NA,NA
Rhynchocyclus brevirostris,NA,24.3,129,NA,NA,NA,NA,NA,NA,NA
Setophaga virens,NA,0.0,1239,NA,NA,NA,NA,NA,NA,NA
Hirundinidae sp.,NA,0.0,316,NA,NA,NA,NA,NA,NA,NA
Megaceryle torquata,NA,317.0,618,NA,NA,NA,NA,NA,NA,NA
Chiroxiphia linearis,NA,17.44,41,NA,NA,NA,NA,NA,NA,NA
Tolmomyias sulphurescens,NA,14.3,361,NA,NA,NA,NA,NA,NA,NA
Ramphastos sulfuratus,NA,409.69,791,NA,NA,NA,NA,NA,NA,NA
Rhytipterna holerythra,NA,36.8,14,NA,NA,NA,NA,NA,NA,NA
Geranoaetus albicaudatus,NA,0.0,817,NA,NA,NA,NA,NA,NA,NA
Lanio aurantius,NA,35.0,54,NA,NA,NA,NA,NA,NA,NA
Tringa solitaria,NA,48.4,220,NA,NA,NA,NA,NA,NA,NA
Peucaea botterii,NA,0.0,225,NA,NA,NA,NA,NA,NA,NA
Granatellus venustus,NA,10.8,512,NA,NA,NA,NA,NA,NA,NA
Dumetella carolinensis,NA,35.3,394,NA,NA,NA,NA,NA,NA,NA
Chloroceryle amazona,NA,126.38,320,NA,NA,NA,NA,NA,NA,NA
Thalasseus elegans,NA,0.0,370,NA,NA,NA,NA,NA,NA,NA
Catharus mexicanus,NA,33.0,158,NA,NA,NA,NA,NA,NA,NA
Oceanodroma microsoma,NA,0.0,101,NA,NA,NA,NA,NA,NA,NA
Vireo cassinii/solitarius,NA,0.0,31,NA,NA,NA,NA,NA,NA,NA
Ardenna creatopus,NA,0.0,128,NA,NA,NA,NA,NA,NA,NA
Plegadis chihi,NA,616.89,329,NA,NA,NA,NA,NA,NA,NA
Limosa fedoa,NA,357.02,288,NA,NA,NA,NA,NA,NA,NA
Pheugopedius felix,NA,0.0,1125,NA,NA,NA,NA,NA,NA,NA
Vireo solitarius,NA,15.3,1118,NA,NA,NA,NA,NA,NA,NA
Attila spadiceus,NA,39.1,354,NA,NA,NA,NA,NA,NA,NA
Amazona autumnalis,NA,416.0,557,NA,NA,NA,NA,NA,NA,NA
Vireo flavifrons,NA,18.0,153,NA,NA,NA,NA,NA,NA,NA
Passerina rositae,NA,20.0,535,NA,NA,NA,NA,NA,NA,NA
Spizaetus tyrannus,NA,1007.11,119,NA,NA,NA,NA,NA,NA,NA
Charadrius semipalmatus,NA,46.74,470,NA,NA,NA,NA,NA,NA,NA
Ardenna pacifica,NA,0.0,264,NA,NA,NA,NA,NA,NA,NA
Falco columbarius,NA,188.5,176,NA,NA,NA,NA,NA,NA,NA
Circus hudsonius,NA,0.0,548,NA,NA,NA,NA,NA,NA,NA
Tyrannus couchii,NA,39.0,261,NA,NA,NA,NA,NA,NA,NA
Trogon melanocephalus,NA,85.1,215,NA,NA,NA,NA,NA,NA,NA
Passerina amoena,NA,15.49,99,NA,NA,NA,NA,NA,NA,NA
Cyanocorax yncas,NA,78.5,625,NA,NA,NA,NA,NA,NA,NA
Sitta pygmaea,NA,10.6,3,NA,NA,NA,NA,NA,NA,NA
Columbidae sp.,NA,0.0,42,NA,NA,NA,NA,NA,NA,NA
Calothorax lucifer,NA,3.3,7,NA,NA,NA,NA,NA,NA,NA
Amazilia tzacatl,NA,4.79,609,NA,NA,NA,NA,NA,NA,NA
Micrastur semitorquatus,NA,621.68,406,NA,NA,NA,NA,NA,NA,NA
Cercomacroides tyrannina,NA,0.0,50,NA,NA,NA,NA,NA,NA,NA
Setophaga magnolia,NA,0.0,821,NA,NA,NA,NA,NA,NA,NA
Passerina versicolor,NA,12.89,399,NA,NA,NA,NA,NA,NA,NA
Lepidocolaptes affinis,NA,34.99,980,NA,NA,NA,NA,NA,NA,NA
Dactylortyx thoracicus,NA,201.75,3,NA,NA,NA,NA,NA,NA,NA
Psittaciformes sp. (parrot sp.),NA,0.0,62,NA,NA,NA,NA,NA,NA,NA
Amblycercus holosericeus,NA,70.42,266,NA,NA,NA,NA,NA,NA,NA
Todirostrum cinereum,NA,6.29,37,NA,NA,NA,NA,NA,NA,NA
Myiarchus crinitus,NA,32.1,110,NA,NA,NA,NA,NA,NA,NA
Pelecanus erythrorhynchos,NA,5608.48,846,NA,NA,NA,NA,NA,NA,NA
Buteo plagiatus,NA,0.0,2082,NA,NA,NA,NA,NA,NA,NA
Vireo atricapilla,NA,8.99,33,NA,NA,NA,NA,NA,NA,NA
Arremon aurantiirostris,NA,34.5,94,NA,NA,NA,NA,NA,NA,NA
Amazilia candida,NA,3.8,522,NA,NA,NA,NA,NA,NA,NA
Habia fuscicauda,NA,36.84,462,NA,NA,NA,NA,NA,NA,NA
Alcedinidae sp.,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Vireo bellii,NA,8.5,807,NA,NA,NA,NA,NA,NA,NA
Aphelocoma unicolor,NA,124.0,540,NA,NA,NA,NA,NA,NA,NA
Thraupis abbas,NA,45.0,1168,NA,NA,NA,NA,NA,NA,NA
Calidris himantopus,NA,57.24,117,NA,NA,NA,NA,NA,NA,NA
Buteo swainsoni,NA,946.61,324,NA,NA,NA,NA,NA,NA,NA
Parabuteo unicinctus,NA,850.28,49,NA,NA,NA,NA,NA,NA,NA
Parkesia motacilla,NA,0.0,567,NA,NA,NA,NA,NA,NA,NA
Campylopterus curvipennis,NA,6.0,146,NA,NA,NA,NA,NA,NA,NA
Trogon caligatus,NA,46.5,497,NA,NA,NA,NA,NA,NA,NA
Myiodynastes luteiventris,NA,46.9,693,NA,NA,NA,NA,NA,NA,NA
Gallinago delicata,NA,0.0,128,NA,NA,NA,NA,NA,NA,NA
Petrochelidon pyrrhonota,NA,21.6,496,NA,NA,NA,NA,NA,NA,NA
Podiceps nigricollis,NA,412.44,113,NA,NA,NA,NA,NA,NA,NA
Puffinus subalaris,NA,0.0,181,NA,NA,NA,NA,NA,NA,NA
Oncostoma cinereigulare,NA,6.4,220,NA,NA,NA,NA,NA,NA,NA
Empidonax traillii,NA,13.39,275,NA,NA,NA,NA,NA,NA,NA
Crax rubra,NA,4133.0,20,NA,NA,NA,NA,NA,NA,NA
Cardellina canadensis,NA,0.0,67,NA,NA,NA,NA,NA,NA,NA
Mimus gilvus,NA,51.99,611,NA,NA,NA,NA,NA,NA,NA
Trogon sp.,NA,0.0,43,NA,NA,NA,NA,NA,NA,NA
Empidonax difficilis,NA,10.7,325,NA,NA,NA,NA,NA,NA,NA
Piranga erythrocephala,NA,21.8,557,NA,NA,NA,NA,NA,NA,NA
Chordeiles minor,NA,79.3,37,NA,NA,NA,NA,NA,NA,NA
Eupherusa cyanophrys,NA,4.8,595,NA,NA,NA,NA,NA,NA,NA
Elanus leucurus,NA,346.0,1144,NA,NA,NA,NA,NA,NA,NA
Arenaria interpres,NA,135.98,296,NA,NA,NA,NA,NA,NA,NA
Strigiformes sp.,NA,0.0,9,NA,NA,NA,NA,NA,NA,NA
Campylorhynchus zonatus,NA,34.6,702,NA,NA,NA,NA,NA,NA,NA
Setophaga pensylvanica,NA,0.0,100,NA,NA,NA,NA,NA,NA,NA
Peucaea humeralis,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Panyptila sanctihieronymi,NA,48.1,43,NA,NA,NA,NA,NA,NA,NA
Sternula antillarum,NA,0.0,198,NA,NA,NA,NA,NA,NA,NA
Pteroglossus torquatus,NA,219.07,294,NA,NA,NA,NA,NA,NA,NA
Pyrilia haematotis,NA,149.0,129,NA,NA,NA,NA,NA,NA,NA
Crypturellus cinnamomeus,NA,422.0,142,NA,NA,NA,NA,NA,NA,NA
Thamnophilus doliatus,NA,27.03,332,NA,NA,NA,NA,NA,NA,NA
Dendrocincla homochroa,NA,39.43,28,NA,NA,NA,NA,NA,NA,NA
Coccyzus minor,NA,63.89,107,NA,NA,NA,NA,NA,NA,NA
Coccothraustes vespertinus,NA,57.3,18,NA,NA,NA,NA,NA,NA,NA
Progne sp.,NA,0.0,18,NA,NA,NA,NA,NA,NA,NA
Molothrus oryzivorus,NA,181.85,27,NA,NA,NA,NA,NA,NA,NA
Pheugopedius maculipectus,NA,0.0,924,NA,NA,NA,NA,NA,NA,NA
Euphonia affinis,NA,10.0,1154,NA,NA,NA,NA,NA,NA,NA
Laterallus ruber,NA,44.4,53,NA,NA,NA,NA,NA,NA,NA
Sayornis phoebe,NA,19.7,62,NA,NA,NA,NA,NA,NA,NA
Claravis pretiosa,NA,68.2,220,NA,NA,NA,NA,NA,NA,NA
Basileuterus lachrymosus,NA,0.0,342,NA,NA,NA,NA,NA,NA,NA
Columbina minuta,NA,32.59,38,NA,NA,NA,NA,NA,NA,NA
Molothrus ater,NA,40.26,485,NA,NA,NA,NA,NA,NA,NA
Porzana carolina,NA,74.8,180,NA,NA,NA,NA,NA,NA,NA
Anthracothorax prevostii,NA,6.4,146,NA,NA,NA,NA,NA,NA,NA
Sitta carolinensis,NA,21.0,275,NA,NA,NA,NA,NA,NA,NA
Polioptila plumbea,NA,6.0,50,NA,NA,NA,NA,NA,NA,NA
Spiza americana,NA,26.18,333,NA,NA,NA,NA,NA,NA,NA
Setophaga americana,NA,0.0,453,NA,NA,NA,NA,NA,NA,NA
Passerculus sandwichensis,NA,19.97,178,NA,NA,NA,NA,NA,NA,NA
Basileuterus culicivorus,NA,10.5,784,NA,NA,NA,NA,NA,NA,NA
Psittaciformes sp. (parakeet sp.),NA,0.0,32,NA,NA,NA,NA,NA,NA,NA
Sporophila minuta,NA,7.8,198,NA,NA,NA,NA,NA,NA,NA
Sterninae sp.,NA,0.0,130,NA,NA,NA,NA,NA,NA,NA
Chlorostilbon auriceps,NA,2.61,282,NA,NA,NA,NA,NA,NA,NA
Oceanodroma melania,NA,61.5,135,NA,NA,NA,NA,NA,NA,NA
Rynchops niger,NA,297.73,293,NA,NA,NA,NA,NA,NA,NA
Tyto alba,NA,403.32,152,NA,NA,NA,NA,NA,NA,NA
Pheucticus chrysopeplus,NA,77.6,88,NA,NA,NA,NA,NA,NA,NA
Charadrius wilsonia,NA,55.1,88,NA,NA,NA,NA,NA,NA,NA
Burhinus bistriatus,NA,787.0,315,NA,NA,NA,NA,NA,NA,NA
Chlidonias niger,NA,65.3,311,NA,NA,NA,NA,NA,NA,NA
Lepidocolaptes souleyetii,NA,25.7,192,NA,NA,NA,NA,NA,NA,NA
Amazona oratrix,NA,476.94,96,NA,NA,NA,NA,NA,NA,NA
Phainopepla nitens,NA,22.1,9,NA,NA,NA,NA,NA,NA,NA
Vermivora chrysoptera,NA,8.74,8,NA,NA,NA,NA,NA,NA,NA
Melozone kieneri,NA,38.7,85,NA,NA,NA,NA,NA,NA,NA
Lampornis viridipallens,NA,5.33,5,NA,NA,NA,NA,NA,NA,NA
Buteogallus urubitinga,NA,1152.87,129,NA,NA,NA,NA,NA,NA,NA
Picidae sp.,NA,0.0,77,NA,NA,NA,NA,NA,NA,NA
Fregata sp.,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Aramus guarauna,NA,1080.0,263,NA,NA,NA,NA,NA,NA,NA
Phaethornis mexicanus,NA,0.0,179,NA,NA,NA,NA,NA,NA,NA
Heliomaster longirostris,NA,6.6,253,NA,NA,NA,NA,NA,NA,NA
Cistothorus palustris,NA,10.8,33,NA,NA,NA,NA,NA,NA,NA
Patagioenas speciosa,NA,258.47,22,NA,NA,NA,NA,NA,NA,NA
Agelaius phoeniceus,NA,50.78,436,NA,NA,NA,NA,NA,NA,NA
Icterus prosthemelas,NA,27.95,203,NA,NA,NA,NA,NA,NA,NA
Vireo cassinii/solitarius/plumbeus,NA,0.0,54,NA,NA,NA,NA,NA,NA,NA
Crypturellus soui,NA,216.16,93,NA,NA,NA,NA,NA,NA,NA
Glaucidium griseiceps,NA,50.58,62,NA,NA,NA,NA,NA,NA,NA
Hylorchilus sumichrasti,NA,28.4,197,NA,NA,NA,NA,NA,NA,NA
Pulsatrix perspicillata,NA,983.55,16,NA,NA,NA,NA,NA,NA,NA
Galbula ruficauda,NA,26.5,17,NA,NA,NA,NA,NA,NA,NA
Leiothlypis peregrina,NA,0.0,685,NA,NA,NA,NA,NA,NA,NA
Buteo sp.,NA,0.0,49,NA,NA,NA,NA,NA,NA,NA
Tunchiornis ochraceiceps,NA,0.0,26,NA,NA,NA,NA,NA,NA,NA
Contopus cinereus,NA,11.6,82,NA,NA,NA,NA,NA,NA,NA
Amazilia sp.,NA,0.0,32,NA,NA,NA,NA,NA,NA,NA
Taraba major,NA,59.2,19,NA,NA,NA,NA,NA,NA,NA
Regulus satrapa,NA,6.19,92,NA,NA,NA,NA,NA,NA,NA
Cyclarhis gujanensis,NA,28.8,210,NA,NA,NA,NA,NA,NA,NA
Ridgwayia pinicola,NA,0.0,174,NA,NA,NA,NA,NA,NA,NA
Tachycineta bicolor,NA,21.2,76,NA,NA,NA,NA,NA,NA,NA
Selasphorus sp.,NA,0.0,29,NA,NA,NA,NA,NA,NA,NA
Ramphocaenus melanurus,NA,9.7,163,NA,NA,NA,NA,NA,NA,NA
Penelope purpurascens,NA,2060.0,248,NA,NA,NA,NA,NA,NA,NA
Ortalis sp.,NA,0.0,9,NA,NA,NA,NA,NA,NA,NA
Glyphorynchus spirurus,NA,14.6,37,NA,NA,NA,NA,NA,NA,NA
Dryobates fumigatus,NA,0.0,117,NA,NA,NA,NA,NA,NA,NA
Troglodytidae sp.,NA,0.0,35,NA,NA,NA,NA,NA,NA,NA
Sittasomus griseicapillus,NA,13.12,363,NA,NA,NA,NA,NA,NA,NA
Amazona sp.,NA,0.0,77,NA,NA,NA,NA,NA,NA,NA
Leiothlypis crissalis,NA,0.0,13,NA,NA,NA,NA,NA,NA,NA
Nyctibius jamaicensis,NA,266.04,121,NA,NA,NA,NA,NA,NA,NA
Porphyrio martinica,NA,235.06,120,NA,NA,NA,NA,NA,NA,NA
Platalea ajaja,NA,1490.0,776,NA,NA,NA,NA,NA,NA,NA
Empidonax difficilis/occidentalis,NA,0.0,158,NA,NA,NA,NA,NA,NA,NA
Botaurus pinnatus,NA,812.16,11,NA,NA,NA,NA,NA,NA,NA
Aramides albiventris,NA,0.0,42,NA,NA,NA,NA,NA,NA,NA
Melanerpes pucherani,NA,62.4,66,NA,NA,NA,NA,NA,NA,NA
Empidonax alnorum,NA,12.7,17,NA,NA,NA,NA,NA,NA,NA
Charadrius collaris,NA,28.3,279,NA,NA,NA,NA,NA,NA,NA
Setophaga tigrina,NA,0.0,6,NA,NA,NA,NA,NA,NA,NA
Habia rubica,NA,32.46,432,NA,NA,NA,NA,NA,NA,NA
Helmitheros vermivorum,NA,14.16,75,NA,NA,NA,NA,NA,NA,NA
Empidonax albigularis,NA,9.58,118,NA,NA,NA,NA,NA,NA,NA
Geranospiza caerulescens,NA,302.5,183,NA,NA,NA,NA,NA,NA,NA
Amazilia cyanocephala,NA,5.1,438,NA,NA,NA,NA,NA,NA,NA
Rostrhamus sociabilis,NA,366.94,156,NA,NA,NA,NA,NA,NA,NA
Colaptes auricularis,NA,65.4,202,NA,NA,NA,NA,NA,NA,NA
Xenops minutus,NA,10.6,80,NA,NA,NA,NA,NA,NA,NA
Phalaropus fulicarius,NA,55.59,71,NA,NA,NA,NA,NA,NA,NA
Charadrius nivosus,NA,0.0,185,NA,NA,NA,NA,NA,NA,NA
Gelochelidon nilotica,NA,0.0,246,NA,NA,NA,NA,NA,NA,NA
Patagioenas nigrirostris,NA,176.0,158,NA,NA,NA,NA,NA,NA,NA
Larus argentatus,NA,1090.99,26,NA,NA,NA,NA,NA,NA,NA
Uropsila leucogastra,NA,9.03,119,NA,NA,NA,NA,NA,NA,NA
Odontophorus guttatus,NA,303.83,108,NA,NA,NA,NA,NA,NA,NA
Campylopterus hemileucurus,NA,9.72,152,NA,NA,NA,NA,NA,NA,NA
Xema sabini,NA,198.0,77,NA,NA,NA,NA,NA,NA,NA
Setophaga dominica,NA,0.0,173,NA,NA,NA,NA,NA,NA,NA
Automolus ochrolaemus,NA,40.2,111,NA,NA,NA,NA,NA,NA,NA
Contopus sordidulus/virens,NA,0.0,84,NA,NA,NA,NA,NA,NA,NA
Tityra inquisitor,NA,43.1,117,NA,NA,NA,NA,NA,NA,NA
Stercorarius parasiticus,NA,444.31,35,NA,NA,NA,NA,NA,NA,NA
Ciccaba nigrolineata,NA,0.0,15,NA,NA,NA,NA,NA,NA,NA
Piranga leucoptera,NA,16.0,273,NA,NA,NA,NA,NA,NA,NA
Megascops guatemalae,NA,118.0,75,NA,NA,NA,NA,NA,NA,NA
Tapera naevia,NA,48.42,13,NA,NA,NA,NA,NA,NA,NA
