species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements
Zenaida macroura,12.0,118.93,1936,mézh,mézh,Pigeons and Doves,0,1,1,7
Falco sparverius,10.5,114.61,2435,líd,líd,Falcons and Caracaras,0,1,1,3
Vireo plumbeus,5.5,16.4,683,mtsùu,mtsùu,Vireos,0,8,8,4
Arremon brunneinucha,7.3,43.97,1157,mguîn̲-wchǔup,mguîn̲-wchǔup,New World Sparrows,0,1,1,10
Geococcyx velox,23.0,179.89,686,mriě,mriě,Cuckoos,0,1,1,1
Trogon mexicanus,12.5,71.0,1561,mèr-dán,mèr-dán,Trogons and Quetzals,0,1,1,2
Salpinctes obsoletus,5.5,16.37,1078,nguzhǐn,nguzhǐn-quiè,Wrens,0,6,1,6
Cynanthus sordidus,3.75,4.0,4751,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Aythya affinis,16.5,819.45,258,bǎd,bǎd-guìx,Waterfowl,0,7,5,10
Gallus gallus,28.0,751.72,0,nguǐd,nguǐd,"Grouse, Quail, and Allies",0,1,1,4
Empidonax affinis,5.25,11.3,393,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,12,11,12
Buteo albonotatus,19.5,745.92,993,msì,msì,"Vultures, Hawks, and Allies",0,7,3,8
Spizella passerina,5.5,12.2,1834,mtsùu,mtsùu,New World Sparrows,0,8,8,10
Colaptes auratus,13.375,131.46,930,mguîn̲-pliêgw,mguîn̲-pliêgw,Woodpeckers,0,1,1,8
Myiarchus nuttingi,7.25,23.0,1903,mguîn̲-rchǔup,mguîn̲-rchǔup,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,2,2,12
Pooecetes gramineus,6.125,25.68,198,wǐt,wǐt,New World Sparrows,0,12,11,10
Mitrephanes phaeocercus,5.0,8.59,1776,wǐt,wǐt-dán,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,12,1,12
Aimophila mystacalis,6.25,22.2,0,mtsùu,mtsùu,New World Sparrows,0,8,8,10
Amazona finschi,13.0,302.0,311,lòr,lòr,"Parrots, Parakeets, and Allies",0,1,1,3
Myadestes occidentalis,8.0,36.4,3842,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0,4,4,5
Spinus notatus,4.25,10.9,664,yěets,yěets-dán,"Finches, Euphonias, and Allies",0,3,1,3
Piranga rubra,7.75,29.13,2062,mguěy,mguěy,"Cardinals, Grosbeaks, and Allies",0,4,2,2
Baeolophus wollweberi,4.625,10.4,510,mguîn̲-pàyâs,mguîn̲-pàyâs,"Tits, Chickadees, and Titmice",0,2,2,2
Accipiter cooperii,17.5,429.67,1551,msì,msì-lâg,"Vultures, Hawks, and Allies",0,7,3,8
Centurus hypopolius,7.85,52.4,0,càrpìntêr,càrpìntêr-psì,Woodpeckers,0,7,1,8
Picoides scalaris,7.0,31.59,0,càrpìntêr,càrpìntêr-psì-yèen̲,Woodpeckers,0,7,1,8
Selasphorus rufus,3.75,3.5,360,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Coragyps atratus,25.0,1881.69,8865,pěch,pěch-rúx,"Vultures, Hawks, and Allies",0,2,1,8
Ara militaris,29.5,1134.0,85,měw,měw,"Parrots, Parakeets, and Allies",0,1,1,3
Tyrannus verticalis,8.75,39.6,1155,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,4,3,12
Megascops trichopsis,7.25,88.26,112,mquí,mquí,Owls,0,3,3,6
Cypseloides rutilus,6.25,20.2,0,xlútsǐ,xlútsǐ-ngǎs,Swifts,0,7,3,3
Thryomanes bewickii,5.25,9.9,5465,nguzhǐn,nguzhǐn,Wrens,1,6,1,6
Columba livia,13.5,354.2,2254,pàlôm,pàlôm,Pigeons and Doves,1,2,1,7
Cardellina rubrifrons,5.0,8.1,577,wǐt,wǐt,Wood-Warblers,0,12,11,15
Spatula discors,15.15,359.44,2080,bǎd,bǎd-guìx,Waterfowl,0,7,5,10
Pipilo ocai,8.2,60.95,1116,chùubây,chùubây,New World Sparrows,0,1,1,10
